ORF,myStddev,myMean,myCV
YPR184W,0.044581581,3.510683155,0.012698834
YHR046C,0.019454688,3.308854665,0.005879584
YGR108W,0.017615431,3.593419994,0.004902135
YPL078C,0.0132567,3.712082034,0.00357123
YBR095C,0.013587073,3.358839764,0.004045169
YCL032W,0.040534504,3.226231132,0.012564042
YKL135C,0.017184412,3.463453057,0.004961641
YBR076W,0.079924198,2.616497068,0.030546259
YDL223C,0.10934148,3.201880015,0.03414915
YNR067C,0.019686349,3.455321548,0.0056974
YKR086W,0.013050524,3.181619213,0.00410185
YBR186W,0.090721821,2.386837875,0.038009209
YGR104C,0.021504207,3.208723646,0.006701795
YAL067C,0.09597211,3.200081071,0.029990525
YLR346C,0.107416373,2.967967601,0.036191895
YDR516C,0.017253022,3.620391488,0.004765513
YDR239C,0.012216278,3.304890192,0.003696425
YIL019W,0.049471109,3.265173679,0.015151142
YMR115W,0.011955017,3.334952347,0.003584764
YDL173W,0.022965318,3.504251217,0.006553559
YOL066C,0.013048409,3.285731805,0.003971234
YCL043C,0.010563075,3.790458618,0.002786754
YFL052W,0.075873884,2.347172188,0.032325658
YEL051W,0.02679835,3.75159976,0.007143179
YOR011W-A,0.127459868,2.010334461,0.06340232
YNL163C,0.022078193,3.359935034,0.006571018
YGL006W,0.033827168,3.555109191,0.009515086
YGL211W,0.018004826,3.322090175,0.005419728
YDL055C,0.006786882,3.803964042,0.00178416
YBL017C,0.017416666,3.614630835,0.00481838
YPL206C,0.013655084,3.648157016,0.003743009
YPL095C,0.102119244,3.516307415,0.029041614
YBR268W,0.01660829,3.536399794,0.004696384
YGL084C,0.011531181,3.483273986,0.003310443
YOL090W,0.01217183,3.443739996,0.00353448
YGL228W,0.015762464,3.565342365,0.004421024
YLL051C,0.032616136,3.366996884,0.009687011
YLL014W,0.007885545,3.649610659,0.002160654
YHR170W,0.031552126,3.61551235,0.008726875
YML124C,0.009899079,3.629831248,0.002727146
YHR065C,0.023730576,3.501143286,0.00677795
YOR062C,0.046073032,3.3752951,0.013650075
YOR157C,0.012772723,3.644712188,0.003504453
YOL036W,0.013171637,3.50084317,0.003762418
YPL067C,0.062560926,3.084553839,0.020282002
YMR306W,0.053550472,2.775677447,0.019292757
YOL145C,0.022658412,3.21816413,0.007040788
YOL098C,0.007929929,3.622302764,0.002189195
YKL219W,0.019383375,3.424437478,0.005660309
YGR178C,0.009904045,3.555204872,0.002785787
YOL021C,0.018721197,3.512789658,0.005329439
YBR011C,0.005269586,3.838678292,0.001372761
YJR140C,0.018377634,3.3477644,0.005489524
YGR144W,0.046998709,3.297017139,0.014254918
YMR008C,0.02541147,3.684637758,0.006896599
YMR322C,0.070011219,3.013209277,0.023234768
YBR141C,0.047937754,3.151609513,0.015210563
YJL133W,0.020581527,3.310412379,0.006217209
YNR061C,0.013639106,3.60772915,0.003780524
YDR079W,0.034763952,3.345571131,0.010391036
YDR454C,0.013581874,3.754380966,0.003617607
YIL009W,0.020129163,3.388831578,0.005939853
YPL262W,0.006477677,3.70520323,0.001748265
YIL166C,0.016822069,2.99057575,0.005625027
YFR038W,0.013350092,3.2515572,0.004105753
YDR266C,0.009733162,3.469769919,0.002805132
YLR001C,0.029576806,3.401388977,0.008695508
YER186C,0.05342092,3.480516414,0.015348562
YML125C,0.034751849,3.637138199,0.009554723
YGL048C,0.016968966,3.703725823,0.004581594
YBR028C,0.019922681,3.401818905,0.005856479
YHR118C,0.011712423,3.23586044,0.00361957
YGR081C,0.032671571,3.294985268,0.009915544
YKL047W,0.021776106,3.366719948,0.006468048
YHL001W,0.012335796,3.740232782,0.003298136
YDR440W,0.024273647,3.316889522,0.007318196
YNL287W,0.009591586,3.691378109,0.002598375
YDR460W,0.026101761,3.301621156,0.007905741
YLR313C,0.027367488,3.098532165,0.008832404
YDR062W,0.012860864,3.674504791,0.003500026
YOR178C,0.131535557,2.542611498,0.051732464
YJL016W,0.048267311,3.526205854,0.013688172
YOR279C,0.020737394,3.162836921,0.00655658
YJL218W,0.038944738,3.250185834,0.011982311
YDL218W,0.057072418,2.474856119,0.023060904
YGR071C,0.02251737,3.234939123,0.006960678
YLR256W,0.017656298,3.509112813,0.005031556
YNL032W,0.01416894,3.423961767,0.004138171
YJR100C,0.024757256,3.37897928,0.007326845
YER111C,0.082579775,3.279042107,0.025184115
YBL095W,0.01766481,3.328213723,0.005307595
YJR123W,0.004742787,3.841719745,0.001234548
YML083C,0.076706832,2.336852287,0.032824853
YML072C,0.009706526,3.683974842,0.002634797
YBL108C-A,0.041722948,3.292663431,0.012671489
YEL021W,0.058891722,1.741217799,0.033822146
YLR343W,0.020175129,3.140445167,0.006424289
YGR183C,0.014072646,3.663204034,0.003841622
YHR169W,0.039840466,3.363467345,0.011845058
YIL143C,0.013362744,3.383769897,0.00394907
YNL107W,0.019472684,3.370095298,0.005778081
YML102W,0.019182192,3.382325397,0.005671303
YGR027C,0.008752882,3.787492734,0.002310996
YHR146W,0.023601202,3.476669752,0.006788451
YDR361C,0.03127972,3.492172345,0.008957095
YIL005W,0.018951947,3.452727875,0.005488978
YBR301W,0.034017321,2.84844893,0.011942401
YHR097C,0.050985922,3.474661887,0.014673635
YGL253W,0.009998053,3.789508998,0.00263835
YOR390W,0.021471629,3.225436084,0.006656969
YGR258C,0.036045614,3.252476067,0.011082515
YDL229W,0.00645338,3.845585313,0.001678127
YDL119C,0.014777754,3.277222241,0.004509232
YJL108C,0.138286537,3.195716372,0.043272469
YHR157W,0.03809828,2.945692678,0.012933556
YJL193W,0.020097113,3.313142265,0.006065877
YDL155W,0.017182577,3.397714806,0.005057098
YHR007C-A,0.031527179,2.591475433,0.012165725
YER142C,0.048938029,3.411634529,0.014344452
YMR190C,0.016839036,3.25936743,0.005166351
YOR272W,0.040017152,3.557766221,0.011247831
YHR057C,0.013338302,3.51447386,0.003795249
YER103W,0.06314329,3.587963048,0.017598646
YHR006W,0.01370435,3.39124475,0.004041097
YIR026C,0.046876227,3.382619626,0.013857966
YBL090W,0.017373501,3.423555951,0.005074695
YHR024C,0.008015058,3.459473713,0.002316843
YOR045W,0.010136093,3.726676109,0.002719875
